APT_Group,Technique,Year
APT38,Ingress Tool Transfer,2019
Higaisa,DLL,2021
Silent Librarian,Link Target,2021
Volt Typhoon,Vulnerabilities,2024
Medusa Group,Clear Command History,2025
APT28,Exploitation for Privilege Escalation,2017
Stealth Falcon,System Network Configuration Discovery,2017
APT32,Web Shell,2018
Gamaredon Group,Command Obfuscation,2023
Sandworm Team,Data from Local System,2020
APT41,Permission Groups Discovery,2024
Carbanak,Valid Accounts,2017
Volt Typhoon,Ingress Tool Transfer,2024
APT3,Software Packing,2018
FIN6,Service Execution,2019
Inception,Credentials from Web Browsers,2020
Magic Hound,Protocol Tunneling,2023
Gamaredon Group,System Owner/User Discovery,2017
Turla,Domain Groups,2020
APT41,External Remote Services,2019
FIN6,Valid Accounts,2017
Contagious Interview,Remote Desktop Software,2025
Higaisa,Windows Command Shell,2021
Confucius,Visual Basic,2022
Rocke,Process Discovery,2020
FIN10,System Owner/User Discovery,2017
GALLIUM,Web Shell,2019
APT-C-36,Domains,2026
Sidewinder,Malicious File,2021
Suckfly,Network Service Discovery,2017
Malteiro,Credentials from Web Browsers,2024
Threat Group-3390,Windows Command Shell,2017
Contagious Interview,Command Obfuscation,2025
Ember Bear,Windows Management Instrumentation,2024
ZIRCONIUM,Deobfuscate/Decode Files or Information,2021
Aquatic Panda,Windows Service,2024
INC Ransom,Phishing,2024
Aquatic Panda,Account Discovery,2024
Higaisa,Compression,2025
Kimsuky,Additional Local or Domain Groups,2022
Silence,Process Injection,2020
MuddyWater,System Network Configuration Discovery,2019
BRONZE BUTLER,File Deletion,2018
Scattered Spider,Spearphishing Voice,2024
APT33,Cloud Accounts,2020
Chimera,System Network Configuration Discovery,2021
APT42,Local Account,2025
Scattered Spider,Impersonation,2024
Wizard Spider,External Remote Services,2020
Magic Hound,Remote Desktop Protocol,2022
Dragonfly,Template Injection,2021
Scattered Spider,Create Cloud Instance,2024
Axiom,DNS Server,2022
APT29,Bypass User Account Control,2017
OilRig,Data from Local System,2024
DarkHydrus,Forced Authentication,2018
Poseidon Group,Domain Account,2017
Contagious Interview,Exfiltration Over Unencrypted Non-C2 Protocol,2025
Kimsuky,Impersonation,2026
APT42,Query Public AI Services,2026
WIRTE,Visual Basic,2019
Dragonfly,Brute Force,2021
Aoqin Dragon,File and Directory Discovery,2022
BRONZE BUTLER,PowerShell,2018
Confucius,Registry Run Keys / Startup Folder,2021
Wizard Spider,Windows Command Shell,2020
Turla,Winlogon Helper DLL,2018
Mustang Panda,File Deletion,2021
FIN7,Malicious File,2018
LazyScripter,Malicious Link,2022
APT42,Security Software Discovery,2025
APT28,Exploitation for Client Execution,2019
Winter Vivern,Deobfuscate/Decode Files or Information,2024
INC Ransom,Domain Groups,2024
LAPSUS$,NTDS,2022
TeamTNT,Escape to Host,2021
Silence,Visual Basic,2019
Lazarus Group,Spearphishing Attachment,2018
Sea Turtle,Archive via Utility,2024
Medusa Group,Remote Desktop Protocol,2025
Dark Caracal,File and Directory Discovery,2018
Group5,Keylogging,2017
Sandworm Team,Visual Basic,2020
FIN10,PowerShell,2017
Earth Lusca,System Service Discovery,2022
APT28,Search Open Technical Databases,2025
BackdoorDiplomacy,Exploit Public-Facing Application,2021
FIN4,Visual Basic,2019
APT37,Scheduled Task,2021
TeamTNT,Credentials In Files,2021
APT33,Web Protocols,2019
Cobalt Group,File Deletion,2018
FIN13,File and Directory Discovery,2023
APT32,Keylogging,2020
Dragonfly,Remote System Discovery,2021
Patchwork,Spearphishing Attachment,2018
Contagious Interview,Unix Shell,2025
Sidewinder,Mshta,2021
Agrius,Deobfuscate/Decode Files or Information,2024
Gamaredon Group,One-Way Communication,2024
Dragonfly,Forced Authentication,2021
APT42,Credentials from Web Browsers,2025
Gorgon Group,Malicious File,2018
APT41,Fallback Channels,2019
TA551,Rundll32,2021
UNC3886,PowerShell,2025
LuminousMoth,Drive-by Target,2023
Darkhotel,File and Directory Discovery,2021
Windshift,Spearphishing Link,2020
Lazarus Group,Email Accounts,2022
TeamTNT,System Service Discovery,2022
LAPSUS$,Credentials from Web Browsers,2022
Turla,Web Services,2020
Storm-0501,Inhibit System Recovery,2025
LuminousMoth,Upload Malware,2023
ToddyCat,SMB/Windows Admin Shares,2024
MirrorFace,Proxy,2026
PLATINUM,Process Injection,2018
menuPass,Ingress Tool Transfer,2017
WIRTE,Spearphishing Attachment,2022
HAFNIUM,LSASS Memory,2021
Andariel,Ingress Tool Transfer,2021
Ferocious Kitten,Right-to-Left Override,2021
Patchwork,Software Packing,2017
OilRig,Deobfuscate/Decode Files or Information,2018
APT3,Multi-Stage Channels,2017
Chimera,Domain Trust Discovery,2021
Gamaredon Group,Peripheral Device Discovery,2017
TeamTNT,Vulnerability Scanning,2021
Silence,Service Execution,2019
Lazarus Group,Password Spraying,2017
ZIRCONIUM,Masquerading,2021
Rancor,Web Protocols,2018
Akira,External Remote Services,2024
Windigo,Drive-by Compromise,2021
UNC3886,Port Knocking,2025
LuminousMoth,Match Legitimate Resource Name or Location,2023
RTM,Spearphishing Attachment,2020
Dragonfly,Drive-by Target,2021
Sandworm Team,Malware,2020
Threat Group-3390,File Deletion,2017
Leafminer,Credentials In Files,2020
Nomadic Octopus,Ingress Tool Transfer,2021
Tropic Trooper,Spearphishing Attachment,2019
FIN13,Local Account,2023
APT39,SMB/Windows Admin Shares,2020
Kimsuky,Non-Standard Encoding,2026
FIN7,Exfiltration to Cloud Storage,2021
ZIRCONIUM,Exploitation for Privilege Escalation,2021
Higaisa,XSL Script Processing,2021
Winter Vivern,Scheduled Task,2024
UNC3886,Virtual Machine Discovery,2025
Inception,Web Service,2020
APT5,Local Data Staging,2024
FIN13,Masquerading,2023
Medusa Group,Social Media Accounts,2025
Leviathan,Multi-hop Proxy,2021
APT29,Match Legitimate Resource Name or Location,2021
OilRig,Spearphishing Link,2018
Gamaredon Group,Virtual Private Server,2024
APT28,Application Access Token,2019
Cobalt Group,JavaScript,2020
