APT_Group,Technique,Year
TA551,Email Addresses,2021
Indrik Spider,Local Data Staging,2021
Stealth Falcon,Symmetric Cryptography,2017
APT38,Web Shell,2021
Deep Panda,Indicator Removal from Tools,2017
Indrik Spider,Remote System Discovery,2021
Silence,Registry Run Keys / Startup Folder,2020
LuminousMoth,Data Transfer Size Limits,2023
APT42,Spearphishing Link,2025
MuddyWater,Domain Account,2021
Moonstone Sleet,Domains,2024
Leviathan,BITS Jobs,2018
Chimera,Multi-Factor Authentication Interception,2021
Sandworm Team,Domains,2020
MuddyWater,Rundll32,2019
Gamaredon Group,Deobfuscate/Decode Files or Information,2020
TeamTNT,Deploy Container,2021
BlackByte,Modify Registry,2024
Gamaredon Group,Web Services,2025
Leviathan,Exfiltration Over C2 Channel,2021
FIN7,Video Capture,2018
Ferocious Kitten,Spearphishing Attachment,2021
TA551,Windows Command Shell,2021
Turla,Web Service,2020
Whitefly,Ingress Tool Transfer,2020
Fox Kitten,Credentials In Files,2020
Gamaredon Group,Obfuscated Files or Information,2020
APT32,Local Accounts,2017
Whitefly,Malicious File,2020
Sandworm Team,Remote Access Tools,2020
Dragonfly,Remote Email Collection,2021
Turla,Malicious Link,2018
INC Ransom,Remote Access Tools,2024
Turla,System Information Discovery,2017
Gamaredon Group,Non-Standard Port,2025
Machete,Scheduled Task,2020
MuddyWater,System Owner/User Discovery,2019
APT1,Domains,2020
Dragonfly,Web Shell,2021
Saint Bear,Software Packing,2024
Winter Vivern,Domains,2024
Play,Clear Windows Event Logs,2024
ToddyCat,Process Discovery,2024
Storm-0501,Scheduled Task,2025
Scattered Spider,Additional Cloud Roles,2024
VOID MANTICORE,Financial Theft,2026
APT28,Evil Twin,2024
BITTER,Scheduled Task,2022
APT28,Artificial Intelligence,2026
FIN6,Remote Desktop Protocol,2017
EXOTIC LILY,Email Addresses,2022
Scattered Spider,Code Signing,2023
Salt Typhoon,SSH,2025
FIN13,Windows Management Instrumentation,2023
Storm-0501,DCSync,2025
Mustang Panda,File and Directory Discovery,2021
Magic Hound,Windows Command Shell,2018
Leviathan,Valid Accounts,2021
Sidewinder,Automated Collection,2021
Kimsuky,Email Accounts,2020
Magic Hound,Modify Registry,2022
APT-C-36,Dynamic Resolution,2026
FIN7,Gather Victim Org Information,2025
Naikon,System Network Configuration Discovery,2017
Gamaredon Group,Compression,2025
Deep Panda,Web Shell,2017
Kimsuky,Develop Capabilities,2020
APT32,Email Addresses,2021
APT28,Impersonation,2026
INC Ransom,Network Service Discovery,2024
Mustang Panda,Junk Code Insertion,2021
VOID MANTICORE,Windows Management Instrumentation,2026
APT-C-36,Encrypted/Encoded File,2026
APT3,System Network Configuration Discovery,2017
WIRTE,Malicious Link,2026
Medusa Group,Tool,2025
Contagious Interview,Disable or Modify Tools,2025
OilRig,Indicator Removal from Tools,2017
APT-C-36,Steganography,2026
Whitefly,Tool,2021
APT28,Hidden Window,2019
FIN6,Malicious File,2020
Earth Lusca,Process Discovery,2022
Sandworm Team,Data Destruction,2020
OilRig,Query Registry,2018
Sidewinder,Ingress Tool Transfer,2021
APT29,Encrypted Channel,2022
VOID MANTICORE,Tool,2026
MuddyWater,Network Topology,2026
Patchwork,Indicator Removal from Tools,2018
Lazarus Group,Archive via Custom Method,2020
Stealth Falcon,Query Registry,2017
BlackByte,File Deletion,2024
Leviathan,Remote Data Staging,2021
APT28,Data from Network Shared Drive,2021
Sea Turtle,Acquire Infrastructure,2024
APT1,Network Share Discovery,2019
APT-C-36,Spearphishing Attachment,2020
APT28,Masquerading,2021
OilRig,Masquerading,2021
Rocke,Python,2020
Ember Bear,Exploit Public-Facing Application,2024
APT29,Registry Run Keys / Startup Folder,2017
CURIUM,Social Media Accounts,2023
Mustang Panda,Automated Collection,2021
Silent Librarian,Digital Certificates,2021
ZIRCONIUM,Query Registry,2021
APT41,Unix Shell,2020
Magic Hound,Wi-Fi Discovery,2023
APT42,Windows Management Instrumentation,2025
Indrik Spider,JavaScript,2021
Ke3chang,System Owner/User Discovery,2022
Lazarus Group,Encrypted/Encoded File,2017
FIN8,Asynchronous Procedure Call,2021
TeamTNT,Disable or Modify Tools,2021
TA505,Spearphishing Attachment,2019
HAFNIUM,Hidden Files and Directories,2023
Medusa Group,Disable or Modify System Firewall,2025
Silence,Match Legitimate Resource Name or Location,2020
BITTER,Masquerade Task or Service,2022
MirrorFace,Encrypted/Encoded File,2026
BlackTech,Malicious Link,2020
APT1,System Network Connections Discovery,2019
APT5,Process Discovery,2024
MuddyWater,Bypass User Account Control,2019
MuddyWater,Bidirectional Communication,2021
Ke3chang,Automated Exfiltration,2022
INC Ransom,Exploit Public-Facing Application,2024
Storm-1811,Spearphishing via Service,2025
Sidewinder,Spearphishing Link,2021
Sea Turtle,Digital Certificates,2024
APT32,Clear Windows Event Logs,2018
APT41,Bootkit,2019
Scattered Spider,Cloud Accounts,2025
Earth Lusca,Windows Management Instrumentation,2022
Lotus Blossom,Network Service Discovery,2025
HEXANE,Gather Victim Identity Information,2022
APT42,Domains,2025
Putter Panda,Encrypted/Encoded File,2017
Tropic Trooper,Software Discovery,2020
APT5,Cloud Accounts,2024
DarkVishnya,Network Share Discovery,2020
Moses Staff,Code Signing,2022
Kimsuky,Exfiltration Over C2 Channel,2019
Medusa Group,Software Packing,2025
Star Blizzard,Search Open Websites/Domains,2024
LAPSUS$,Account Access Removal,2022
APT37,Registry Run Keys / Startup Folder,2018
Magic Hound,Clear Command History,2022
APT-C-36,Impersonation,2026
Volt Typhoon,System Service Discovery,2024
TeamTNT,Application Layer Protocol,2021
Velvet Ant,File and Directory Discovery,2025
Silence,Tool,2021
Patchwork,Command Obfuscation,2018
Earth Lusca,Malware,2022
Chimera,Local Account,2021
APT32,Malicious File,2018
Rocke,Match Legitimate Resource Name or Location,2020
Play,Financial Theft,2024
APT39,Local Account,2020
Kimsuky,Dynamic API Resolution,2026
Moonstone Sleet,Data Encrypted for Impact,2024
Axiom,Subvert Trust Controls,2022
Chimera,Timestomp,2021
LazyScripter,Visual Basic,2021
Winter Vivern,PowerShell,2024
RedCurl,Spearphishing Attachment,2024
Higaisa,Scheduled Task,2021
SideCopy,Software Discovery,2022
Rocke,Linux and Mac Permissions,2020
Storm-0501,Additional Cloud Credentials,2025
TA578,Malicious Link,2024
Earth Lusca,Steganography,2022
Sandworm Team,Search Open Websites/Domains,2020
APT38,Scheduled Task,2021
Ajax Security Team,Spearphishing via Service,2021
LAPSUS$,Spearphishing Voice,2023
Machete,Drive-by Compromise,2021
MuddyWater,Multi-Stage Channels,2019
Silence,Non-Standard Port,2020
APT38,Data Encrypted for Impact,2019
Sandworm Team,Acquire Infrastructure,2024
APT39,AppInit DLLs,2021
GALLIUM,System Network Connections Discovery,2019
APT37,System Information Discovery,2018
Indrik Spider,Domain Accounts,2021
Moonstone Sleet,Malicious File,2024
MirrorFace,NTDS,2026
Volt Typhoon,Proxy,2023
Threat Group-3390,Password Managers,2022
MirrorFace,Password Filter DLL,2026
RedEcho,Domains,2024
Metador,Non-Application Layer Protocol,2023
Medusa Group,File Deletion,2025
APT1,Data from Local System,2017
Mustang Panda,OS Credential Dumping,2025
Aquatic Panda,SSH,2024
Gamaredon Group,Digital Certificates,2025
APT32,Remote System Discovery,2019
FIN7,Code Signing,2018
Blue Mockingbird,Modify Registry,2020
Leviathan,Exfiltration to Cloud Storage,2020
Darkhotel,Ingress Tool Transfer,2021
TA551,Steganography,2021
FIN13,Remote Desktop Protocol,2023
APT29,Vulnerability Scanning,2021
FIN7,Tool,2023
TA2541,Mshta,2023
Turla,Query Registry,2017
Dragonfly,System Network Configuration Discovery,2021
APT5,Web Shell,2024
RedCurl,Hidden Files and Directories,2024
Mustang Panda,Executable Installer File Permissions Weakness,2025
BlackByte,Deobfuscate/Decode Files or Information,2024
Storm-1811,DLL,2025
Patchwork,Match Legitimate Resource Name or Location,2017
Mustard Tempest,Upload Malware,2024
Evilnum,Malicious Link,2021
Lazarus Group,Windows Service,2017
HEXANE,Password Spraying,2022
APT29,Cloud Administration Command,2023
Lotus Blossom,Internal Proxy,2025
OilRig,Web Shell,2018
Magic Hound,Encrypted/Encoded File,2018
Indrik Spider,Malicious File,2021
APT-C-36,Hidden Window,2026
Blue Mockingbird,Windows Command Shell,2020
MirrorFace,Windows Host Firewall,2026
Daggerfly,Server,2024
APT32,Linux and Mac Permissions,2019
APT3,File Deletion,2018
BlackByte,Make and Impersonate Token,2024
Threat Group-3390,Local Account,2017
APT28,Spearphishing Attachment,2018
Tropic Trooper,Exfiltration over USB,2020
APT38,Disable or Modify System Firewall,2021
Sandworm Team,System Network Connections Discovery,2020
APT32,File and Directory Discovery,2019
LAPSUS$,Password Managers,2023
FIN5,Local Data Staging,2018
PROMETHIUM,Code Signing,2020
Kimsuky,Remote Desktop Software,2019
Higaisa,Web Protocols,2021
PLATINUM,Credential API Hooking,2018
Volt Typhoon,Unsecured Credentials,2024
Gamaredon Group,Malicious Link,2024
Darkhotel,Drive-by Compromise,2019
OilRig,Password Policy Discovery,2018
Gamaredon Group,Mshta,2022
APT38,Security Software Discovery,2021
GALLIUM,Exfiltration Over C2 Channel,2019
Inception,Multi-hop Proxy,2020
Daggerfly,DLL,2024
FIN13,Web Protocols,2023
BRONZE BUTLER,Spearphishing Attachment,2018
RedCurl,Visual Basic,2024
UNC3886,System Time Discovery,2025
BlackByte,Windows Command Shell,2024
Daggerfly,Rename Legitimate Utilities,2024
APT38,Process Discovery,2019
APT42,Keylogging,2025
VOID MANTICORE,Compression,2026
APT5,Windows Command Shell,2024
Wizard Spider,Disable or Modify Tools,2020
Magic Hound,Keylogging,2018
UNC3886,File Deletion,2025
BlackByte,Security Software Discovery,2024
APT32,Web Protocols,2018
RedCurl,File Deletion,2024
Contagious Interview,XDG Autostart Entries,2025
APT42,Clear Mailbox Data,2025
Sandworm Team,File Deletion,2020
Blue Mockingbird,Windows Management Instrumentation,2020
FIN8,Code Signing Certificates,2023
Mustang Panda,LSASS Memory,2025
Magic Hound,Gather Victim Identity Information,2021
Kimsuky,JavaScript,2020
Gamaredon Group,Disk Content Wipe,2022
BlackByte,Lateral Tool Transfer,2024
APT1,Tool,2021
EXOTIC LILY,Domains,2022
BRONZE BUTLER,Web Protocols,2018
APT29,Pass the Ticket,2017
Scattered Spider,Private Keys,2024
Scattered Spider,Clear Mailbox Data,2025
ZIRCONIUM,Malicious Link,2021
WIRTE,Command Obfuscation,2026
LuminousMoth,Replication Through Removable Media,2023
Blue Mockingbird,LSASS Memory,2020
Dark Caracal,Encrypted/Encoded File,2018
Inception,Registry Run Keys / Startup Folder,2020
OilRig,Windows Service,2024
Kimsuky,Adversary-in-the-Middle,2020
Fox Kitten,Data from Local System,2020
TA2541,Visual Basic,2023
RedCurl,Taint Shared Content,2024
Rocke,Obfuscated Files or Information,2020
Sandworm Team,Web Protocols,2020
Cinnamon Tempest,Exploit Public-Facing Application,2023
Moonstone Sleet,Obfuscated Files or Information,2024
APT28,Vulnerability Scanning,2021
Metador,Encrypted/Encoded File,2023
APT38,PowerShell,2021
Tonto Team,PowerShell,2021
BRONZE BUTLER,Masquerading,2020
Gamaredon Group,Internet Connection Discovery,2022
Aquatic Panda,Windows Management Instrumentation,2024
Scattered Spider,Cloud Services,2024
APT41,Dead Drop Resolver,2019
Metador,Windows Command Shell,2023
Kimsuky,Query Registry,2022
Scattered Spider,Remote Desktop Software,2024
Turla,Indicator Removal from Tools,2018
Earth Lusca,Exploitation of Remote Services,2022
EXOTIC LILY,Spearphishing Attachment,2022
Sandworm Team,Compromise Software Supply Chain,2020
Sandworm Team,Domain Account,2020
APT3,External Proxy,2018
FIN7,Windows Service,2018
APT41,Network Service Discovery,2019
HAFNIUM,NTDS,2021
APT3,Process Discovery,2018
Medusa Group,Service Execution,2025
Magic Hound,Match Legitimate Resource Name or Location,2022
Molerats,JavaScript,2020
Aquatic Panda,Archive via Utility,2022
Whitefly,Exploitation for Privilege Escalation,2020
BRONZE BUTLER,Deobfuscate/Decode Files or Information,2018
Silence,Remote System Discovery,2020
Magic Hound,Ingress Tool Transfer,2018
APT41,Rootkit,2019
APT-C-36,Non-Standard Port,2020
Sandworm Team,Botnet,2022
APT39,Shortcut Modification,2019
Earth Lusca,Bypass User Account Control,2022
Inception,File and Directory Discovery,2020
TeamTNT,Cloud API,2023
Rocke,SSH,2020
Kimsuky,Mutual Exclusion,2026
Mustang Panda,Code Signing Certificates,2025
Leafminer,Credentials from Web Browsers,2020
Mustang Panda,Web Protocols,2021
BlackByte,Ingress Tool Transfer,2024
SideCopy,Malicious File,2022
FIN7,Deobfuscate/Decode Files or Information,2025
APT28,Web Shell,2021
Scattered Spider,Disable or Modify Tools,2025
TA578,JavaScript,2024
Gallmaker,Archive via Utility,2019
Darkhotel,User Activity Based Checks,2021
Moses Staff,Windows Host Firewall,2022
VOID MANTICORE,Impersonation,2026
Winter Vivern,Automated Collection,2024
Storm-0501,Cloud API,2025
Volt Typhoon,Email Addresses,2024
FIN7,Local Accounts,2023
Inception,Template Injection,2020
Ember Bear,OS Credential Dumping,2024
Mustang Panda,Traffic Signaling,2025
Leafminer,Remote System Discovery,2018
Kimsuky,Exploits,2022
Sandworm Team,Network Sniffing,2020
FIN6,Command and Scripting Interpreter,2017
Leviathan,Dynamic Data Exchange,2021
Medusa Group,Remote Access Tools,2025
FIN6,Databases,2020
HEXANE,Internet Connection Discovery,2022
ZIRCONIUM,System Owner/User Discovery,2021
Kimsuky,System Network Configuration Discovery,2022
Kimsuky,Traffic Signaling,2025
FIN13,Local Data Staging,2023
GALLIUM,Rename Legitimate Utilities,2019
RedCurl,Windows Command Shell,2024
LuminousMoth,Scheduled Task,2023
Play,Local Accounts,2024
Turla,Data from Removable Media,2019
APT29,Email Accounts,2022
Patchwork,File and Directory Discovery,2017
Strider,Internal Proxy,2017
INC Ransom,Archive via Utility,2024
FIN4,Malicious File,2019
Dragonfly,Exploitation for Client Execution,2021
MuddyWater,Windows Management Instrumentation,2019
LazyScripter,Command Obfuscation,2021
APT28,Additional Email Delegate Permissions,2021
MuddyWater,LSASS Memory,2018
APT28,Rootkit,2019
FIN13,Internal Proxy,2023
FIN5,Brute Force,2018
APT41,System Network Configuration Discovery,2019
Kimsuky,Binary Padding,2025
Kimsuky,Dynamic Resolution,2026
FIN8,Command Obfuscation,2018
TeamTNT,Deobfuscate/Decode Files or Information,2022
UNC3886,Archive via Utility,2025
Sea Turtle,Web Protocols,2024
BITTER,Ingress Tool Transfer,2022
MirrorFace,File Transfer Protocols,2026
Medusa Group,Web Services,2025
APT32,Social Media Accounts,2020
GOLD SOUTHFIELD,Command Obfuscation,2020
Turla,PowerShell Profile,2019
Rocke,Exploit Public-Facing Application,2020
MuddyWater,DLL,2022
APT38,Transmitted Data Manipulation,2019
Mustang Panda,Command and Scripting Interpreter,2025
Turla,Drive-by Compromise,2020
Kimsuky,Dead Drop Resolver,2025
APT38,Windows Command Shell,2019
APT41,Local Account,2019
FIN6,Network Service Discovery,2017
APT-C-36,Internal Spearphishing,2026
FIN10,Valid Accounts,2017
Mustang Panda,Network Service Discovery,2025
Scattered Spider,Financial Theft,2024
HEXANE,Malicious File,2022
Agrius,Disable or Modify Tools,2024
APT5,SSH,2024
APT28,Ingress Tool Transfer,2017
Ke3chang,Service Execution,2018
Mustard Tempest,SEO Poisoning,2023
Whitefly,Encrypted/Encoded File,2020
Threat Group-3390,Web Protocols,2018
Wizard Spider,Exploitation of Remote Services,2020
Higaisa,Registry Run Keys / Startup Folder,2021
LAPSUS$,Virtual Private Server,2022
Kimsuky,Credentials In Files,2021
Higaisa,System Information Discovery,2021
Tropic Trooper,Web Shell,2020
INC Ransom,Domain Account,2024
Medusa Group,Multi-hop Proxy,2025
Medusa Group,MMC,2025
Contagious Interview,Python,2025
Indrik Spider,Disable or Modify Tools,2021
SideCopy,Visual Basic,2022
Cinnamon Tempest,Proxy,2024
Volt Typhoon,Data Staged,2023
DarkHydrus,Tool,2021
GALLIUM,Lateral Tool Transfer,2021
Kimsuky,System Owner/User Discovery,2026
OilRig,Credentials from Password Stores,2020
Sidewinder,Visual Basic,2021
Dragonfly,Vulnerability Scanning,2021
Turla,Mail Protocols,2020
APT42,Data from Cloud Storage,2025
Evilnum,Credentials from Password Stores,2021
APT41,DLL,2020
OilRig,Malware,2024
MirrorFace,Remote Data Staging,2026
Scattered Spider,Conditional Access Policies,2024
Lotus Blossom,Domain Trust Discovery,2025
FIN8,Scheduled Task,2018
HAFNIUM,Virtual Private Server,2021
Earth Lusca,Malicious Link,2022
EXOTIC LILY,Web Service,2022
EXOTIC LILY,Spearphishing via Service,2022
Mustard Tempest,Match Legitimate Resource Name or Location,2024
Carbanak,Masquerade Task or Service,2020
Medusa Group,Code Signing,2025
Winnti Group,File and Directory Discovery,2022
Mustang Panda,DCSync,2025
LazyScripter,Web Services,2022
Dark Caracal,Data from Local System,2018
Scattered Spider,Account Manipulation,2025
FIN4,Valid Accounts,2019
Magic Hound,Lateral Tool Transfer,2023
Medusa Group,Asymmetric Cryptography,2025
Agrius,Acquire Infrastructure,2024
BlackByte,Query Registry,2024
Magic Hound,Bidirectional Communication,2018
Chimera,Valid Accounts,2020
Fox Kitten,Command and Scripting Interpreter,2020
APT28,Tool,2021
FIN13,Windows Command Shell,2023
APT29,Python,2020
Magic Hound,Archive via Utility,2018
APT29,Password Spraying,2021
TeamTNT,Clear Command History,2021
Equation,Component Firmware,2019
Kimsuky,Delay Execution,2026
APT37,Invalid Code Signature,2018
Ember Bear,Scanning IP Blocks,2024
FIN7,Fallback Channels,2021
Volt Typhoon,Valid Accounts,2024
GALLIUM,Windows Management Instrumentation,2019
BlackByte,Exfiltration Over C2 Channel,2024
Medusa Group,Service Stop,2025
Indrik Spider,Password Managers,2024
Mustard Tempest,Spearphishing Link,2024
Ke3chang,Golden Ticket,2018
OilRig,LSA Secrets,2020
Sea Turtle,Databases,2024
MuddyWater,Software Discovery,2021
MuddyWater,Credentials from Password Stores,2020
Tropic Trooper,Template Injection,2019
Dragonfly,LSA Secrets,2021
Sandworm Team,Social Media Accounts,2024
Blue Mockingbird,Scheduled Task,2020
Contagious Interview,JavaScript,2025
FIN8,Windows Management Instrumentation Event Subscription,2021
FIN7,DNS,2018
Medusa Group,Modify Registry,2025
APT38,Service Execution,2021
Confucius,Template Injection,2021
APT38,Cron,2021
MirrorFace,Clear Windows Event Logs,2026
Earth Lusca,LSASS Memory,2022
APT32,Windows Service,2020
TA505,Native API,2022
Sea Turtle,DNS Server,2025
Sidewinder,Software Discovery,2021
Fox Kitten,SMB/Windows Admin Shares,2020
Contagious Interview,Virtual Private Server,2025
APT32,Exploitation for Privilege Escalation,2017
Chimera,Exfiltration Over C2 Channel,2021
APT3,Password Cracking,2018
Contagious Interview,Audio-Visual Content,2026
FIN7,Screen Capture,2018
Earth Lusca,DCSync,2022
Play,PowerShell,2024
LAPSUS$,Tool,2022
RTM,Registry Run Keys / Startup Folder,2020
APT29,Spearphishing Attachment,2018
MuddyWater,System Information Discovery,2019
Leviathan,Dynamic-link Library Injection,2021
APT28,Data from Information Repositories,2021
LazyScripter,Web Service,2021
Wizard Spider,System Network Configuration Discovery,2020
Whitefly,DLL,2020
Lazarus Group,Create Process with Token,2017
APT1,Windows Command Shell,2017
menuPass,Match Legitimate Resource Name or Location,2019
Silent Librarian,Password Spraying,2021
APT38,Visual Basic,2021
APT37,Drive-by Compromise,2018
WIRTE,Domains,2026
Sandworm Team,Vulnerabilities,2020
Sandworm Team,Employee Names,2020
Storm-1811,Masquerading,2025
Leviathan,Exploits,2025
Blue Mockingbird,Encrypted/Encoded File,2020
Lazarus Group,Network Service Discovery,2022
Magic Hound,Command Obfuscation,2023
LuminousMoth,Ingress Tool Transfer,2023
BlackByte,Registry Run Keys / Startup Folder,2024
Earth Lusca,Upload Malware,2022
Akira,Financial Theft,2024
WIRTE,Exfiltration Over C2 Channel,2026
IndigoZebra,Spearphishing Attachment,2021
TeamTNT,Network Service Discovery,2021
Dragonfly,Windows Command Shell,2021
Contagious Interview,Malicious File,2025
Lazarus Group,Gather Victim Org Information,2022
Dark Caracal,Screen Capture,2018
Leafminer,Local Account,2018
MirrorFace,File and Directory Discovery,2026
Sandworm Team,System Information Discovery,2020
Chimera,Protocol Tunneling,2021
Magic Hound,Encrypted Channel,2023
LazyScripter,Malware,2022
MuddyWater,Internal Spearphishing,2026
Volt Typhoon,Search Victim-Owned Websites,2024
TeamTNT,Ingress Tool Transfer,2021
MoustachedBouncer,Content Injection,2023
Winter Vivern,File and Directory Discovery,2024
Lazarus Group,Service Stop,2019
CURIUM,Spearphishing via Service,2023
Leafminer,Network Service Discovery,2018
ToddyCat,Domain Account,2024
Rancor,Windows Command Shell,2018
menuPass,Remote Desktop Protocol,2017
APT38,Brute Force,2021
Daggerfly,Rundll32,2024
FIN4,Keylogging,2019
Ember Bear,LSASS Memory,2024
VOID MANTICORE,Domains,2026
Velvet Ant,Network Sniffing,2025
Kimsuky,Ignore Process Interrupts,2026
Earth Lusca,Domains,2022
Mustang Panda,Match Legitimate Resource Name or Location,2021
Lazarus Group,Symmetric Cryptography,2017
Sandworm Team,Masquerading,2024
Mustang Panda,Native API,2025
Mustang Panda,Exploitation for Client Execution,2021
Ajax Security Team,Spearphishing Attachment,2021
APT41,PowerShell,2019
Wizard Spider,Domain Account,2023
Contagious Interview,Malicious Copy and Paste,2025
FIN10,Registry Run Keys / Startup Folder,2017
Mustang Panda,Delay Execution,2025
FIN8,SMB/Windows Admin Shares,2018
Volt Typhoon,File Deletion,2023
Leviathan,Malicious File,2018
FIN7,Command Obfuscation,2018
CURIUM,Drive-by Compromise,2024
ZIRCONIUM,System Time Discovery,2021
APT29,Steal Application Access Token,2024
UNC3886,Process Discovery,2025
Ke3chang,Keylogging,2018
Ember Bear,DNS,2024
Play,Archive via Utility,2024
Confucius,Malicious File,2021
Rocke,Compute Hijacking,2020
Medusa Group,System Shutdown/Reboot,2025
Sowbug,Network Share Discovery,2018
HEXANE,System Owner/User Discovery,2022
Blue Mockingbird,PowerShell,2020
MirrorFace,Impersonation,2026
FIN6,LSASS Memory,2017
CURIUM,Drive-by Target,2024
HAFNIUM,Web Services,2021
Tropic Trooper,Network Share Discovery,2019
UNC3886,Network Sniffing,2025
APT28,Trusted Relationship,2018
Lotus Blossom,Archive via Custom Method,2025
FIN10,Scheduled Task,2017
PROMETHIUM,Windows Service,2020
Lazarus Group,SSH,2022
Mustang Panda,Hidden Files and Directories,2021
APT41,Match Legitimate Resource Name or Location,2019
Aquatic Panda,Pass the Hash,2024
Winter Vivern,JavaScript,2024
Rocke,Compile After Delivery,2020
Velvet Ant,Service Execution,2025
Higaisa,JavaScript,2021
Kimsuky,Domains,2020
Indrik Spider,Acquire Infrastructure,2024
FIN13,SMB/Windows Admin Shares,2023
Ember Bear,Default Accounts,2024
MirrorFace,Remote Desktop Protocol,2026
Malteiro,Visual Basic,2024
Lazarus Group,System Time Discovery,2018
Kimsuky,Spearphishing Link,2019
Lazarus Group,Hidden Files and Directories,2018
Gamaredon Group,Tool,2024
FIN8,System Information Discovery,2023
MuddyWater,Process Discovery,2019
LazyScripter,Spearphishing Link,2021
Tropic Trooper,Standard Encoding,2020
Scattered Spider,Cloud Infrastructure Discovery,2024
FIN7,Ingress Tool Transfer,2017
APT38,Network Share Discovery,2021
POLONIUM,Trusted Relationship,2022
GALLIUM,Archive via Utility,2019
Turla,Registry Run Keys / Startup Folder,2018
APT28,Exploitation for Stealth,2018
APT32,Web Services,2020
VOID MANTICORE,Data from Local System,2026
Earth Lusca,Exploit Public-Facing Application,2022
Threat Group-3390,Windows Service,2018
Kimsuky,Financial Theft,2024
Agrius,Local Data Staging,2024
APT5,Match Legitimate Resource Name or Location,2024
TA2541,Windows Management Instrumentation,2023
WIRTE,Email Accounts,2026
APT42,Match Legitimate Resource Name or Location,2025
Lazarus Group,PowerShell,2022
APT3,Spearphishing Link,2021
Deep Panda,PowerShell,2017
APT41,Tool,2021
Storm-1811,System Owner/User Discovery,2025
Winter Vivern,Masquerading,2024
Fox Kitten,Web Service,2021
APT32,Regsvr32,2017
BackdoorDiplomacy,Web Shell,2021
Lazarus Group,Windows Command Shell,2020
APT18,Web Protocols,2019
Turla,File and Directory Discovery,2017
Wizard Spider,Remote Services,2023
Play,Windows Command Shell,2024
Lazarus Group,Embedded Payloads,2025
Salt Typhoon,Network Device Configuration Dump,2025
APT16,Server,2020
APT33,Malicious File,2020
APT28,External Remote Services,2021
APT28,Web Services,2022
Medusa Group,Process Discovery,2025
APT41,Process Injection,2019
Chimera,Clear Windows Event Logs,2021
APT1,Process Discovery,2019
Daggerfly,PowerShell,2024
Blue Mockingbird,Windows Service,2020
Ke3chang,Botnet,2025
Medusa Group,LSASS Memory,2025
APT29,Cloud Services,2023
Patchwork,System Owner/User Discovery,2017
BlackByte,Network Share Discovery,2024
APT18,File Deletion,2017
Stealth Falcon,PowerShell,2017
Lazarus Group,Scheduled Task,2022
Sandworm Team,Software Deployment Tools,2023
APT41,Brute Force,2019
BlackTech,Malicious File,2020
Windigo,Proxy,2021
Gamaredon Group,Windows Command Shell,2017
menuPass,Tool,2021
Lazarus Group,Exfiltration Over Unencrypted Non-C2 Protocol,2017
FIN7,Domains,2021
EXOTIC LILY,Search Closed Sources,2022
Medusa Group,Bypass User Account Control,2025
Naikon,Spearphishing Attachment,2020
Magic Hound,Domain Accounts,2023
TA2541,PowerShell,2023
BlackByte,Windows Management Instrumentation,2024
Ember Bear,Exploits,2024
Contagious Interview,Search Open Websites/Domains,2025
HAFNIUM,Domain Account,2021
Volt Typhoon,Remote System Discovery,2023
LuminousMoth,Modify Registry,2023
Indrik Spider,Valid Accounts,2024
Lazarus Group,Ingress Tool Transfer,2017
Scattered Spider,Tool,2025
APT38,Timestomp,2021
TA505,Malware,2022
Turla,System Service Discovery,2017
VOID MANTICORE,Video Capture,2026
Patchwork,Malicious Link,2020
GALLIUM,Valid Accounts,2019
Andariel,Steganography,2021
Windshift,Spearphishing Attachment,2020
TA505,Windows Command Shell,2020
Winnti Group,Process Discovery,2017
Leviathan,Steganography,2021
TeamTNT,Malware,2021
UNC3886,Masquerade Task or Service,2025
Deep Panda,Accessibility Features,2017
Daggerfly,Query Registry,2024
Storm-0501,Data Destruction,2025
MuddyWater,Malware,2026
Chimera,Native API,2020
menuPass,Masquerading,2020
Patchwork,Archive Collected Data,2018
OilRig,Outlook Home Page,2020
Darkhotel,Virtualization/Sandbox Evasion,2021
Medusa Group,Windows Service,2025
OilRig,DNS,2020
Medusa Group,Web Shell,2025
Daggerfly,Drive-by Compromise,2024
Poseidon Group,PowerShell,2017
Mustang Panda,Web Services,2025
Evilnum,System Checks,2021
TA2541,Malicious File,2023
Contagious Interview,Exfiltration to Cloud Storage,2025
Kimsuky,File Transfer Protocols,2020
