technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Data Transfer Size Limits,0.06,0.333,-0.04,Low,5,True,Network Intrusion Prevention,False,1
Establish Accounts,0.06,0.333,-0.04,Low,5,True,Pre-compromise,False,1
Archive Collected Data,0.057,0.333,-0.043,Low,13,True,Audit,False,6
Code Signing Certificates,0.056,0.333,-0.044,Low,10,True,Pre-compromise,False,4
Multi-Factor Authentication Interception,0.055,0.333,-0.045,Low,4,True,User Training,False,1
Windows Credential Manager,0.055,0.333,-0.045,Low,4,True,Disable or Remove Feature or Program,False,1
Compression,0.053,0.333,-0.047,Low,10,True,Antivirus/Antimalware,True,2
Server,0.049,0.333,-0.051,Low,15,True,Pre-compromise,False,5
Gather Victim Network Information,0.048,0.333,-0.052,Low,3,True,Pre-compromise,False,0
Virtual Private Server,0.047,0.333,-0.052,Low,18,True,Pre-compromise,False,5
Exfiltration Over C2 Channel,0.147,0.667,-0.053,Low,27,True,Data Loss Prevention | Network Intrusion Prevention,False,8
Rename Legitimate Utilities,0.045,0.333,-0.054,Low,6,True,Restrict File and Directory Permissions,False,2
Exploit Public-Facing Application,0.245,1.0,-0.055,Low,44,True,Application Isolation and Sandboxing | Exploit Protection | Filter Network Traffic | Limit Access to Resource Over Network | Network Segmentation | Privileged Account Management | Update Software | Vulnerability Scanning,False,8
Regsvr32,0.044,0.333,-0.056,Low,11,True,Exploit Protection,False,4
External Proxy,0.041,0.333,-0.059,Low,11,True,Network Intrusion Prevention,False,4
Gather Victim Identity Information,0.038,0.333,-0.062,Low,10,True,Pre-compromise,False,5
Disk Structure Wipe,0.033,0.333,-0.067,Low,6,True,Data Backup,False,2
Junk Code Insertion,0.03,0.333,-0.07,Low,6,True,Antivirus/Antimalware,False,0
Data from Cloud Storage,0.228,1.0,-0.072,Low,5,True,Audit | Encrypt Sensitive Information | Filter Network Traffic | Multi-factor Authentication | Restrict File and Directory Permissions | User Account Management,True,2
Log Enumeration,0.028,0.333,-0.072,Low,5,True,User Account Management,False,2
Fallback Channels,0.027,0.333,-0.073,Low,5,True,Network Intrusion Prevention,False,1
Native API,0.125,0.667,-0.075,Low,20,True,Behavior Prevention on Endpoint | Execution Prevention,False,7
Botnet,0.023,0.333,-0.077,Low,7,True,Pre-compromise,False,3
Network Devices,0.023,0.333,-0.077,Low,4,True,Pre-compromise,False,2
Network Topology,0.023,0.333,-0.077,Low,4,True,Pre-compromise,False,2
Bidirectional Communication,0.122,0.667,-0.078,Low,16,True,Network Intrusion Prevention | Restrict Web-Based Content,False,6
Multi-Stage Channels,0.02,0.333,-0.08,Low,4,True,Network Intrusion Prevention,False,0
Match Legitimate Resource Name or Location,0.219,1.0,-0.081,Low,61,True,Code Signing | Execution Prevention | Restrict File and Directory Permissions,False,9
Business Relationships,0.017,0.333,-0.083,Low,3,True,Pre-compromise,False,1
Employee Names,0.017,0.333,-0.083,Low,3,True,Pre-compromise,False,1
Spearphishing Voice,0.017,0.333,-0.083,Low,3,True,User Training,False,1
Develop Capabilities,0.015,0.333,-0.085,Low,3,True,Pre-compromise,False,0
Disk Content Wipe,0.015,0.333,-0.085,Low,3,True,Data Backup,False,0
Internal Defacement,0.015,0.333,-0.085,Low,3,True,Data Backup,False,0
Link Target,0.015,0.333,-0.085,Low,3,True,Pre-compromise,False,0
Password Filter DLL,0.015,0.333,-0.085,Low,3,True,Operating System Configuration,False,0
Password Policy Discovery,0.015,0.333,-0.085,Low,3,True,Password Policies,False,0
Protocol or Service Impersonation,0.015,0.333,-0.085,Low,3,True,Network Intrusion Prevention,False,0
Social Media,0.015,0.333,-0.085,Low,3,True,Pre-compromise,False,0
Software,0.015,0.333,-0.085,Low,3,True,Pre-compromise,False,0
Vulnerabilities,0.015,0.333,-0.085,Low,3,True,Pre-compromise,False,0
Service Execution,0.214,1.0,-0.086,Low,16,True,Behavior Prevention on Endpoint | Privileged Account Management | Restrict File and Directory Permissions,True,5
Exfiltration Over Unencrypted Non-C2 Protocol,0.212,1.0,-0.087,Low,11,True,Data Loss Prevention | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation,True,5
Network Sniffing,0.213,1.0,-0.087,Low,8,True,Encrypt Sensitive Information | Multi-factor Authentication | Network Segmentation | User Account Management,True,4
Steal Web Session Cookie,0.211,1.0,-0.089,Low,8,True,Audit | Multi-factor Authentication | Restrict Web-Based Content | Software Configuration | Update Software | User Training,True,3
