technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
RDP Hijacking,2022,2022,0,1,1,0.015,Retired
Runtime Data Manipulation,2019,2019,0,1,1,0.015,Retired
Scheduled Transfer,2021,2021,0,1,1,0.015,Retired
Search Closed Sources,2022,2022,0,1,1,0.015,Retired
Search Engines,2022,2022,0,1,1,0.015,Retired
Stage Capabilities,2022,2022,0,1,1,0.015,Retired
Steal or Forge Authentication Certificates,2022,2022,0,1,1,0.015,Retired
Stored Data Manipulation,2019,2019,0,1,1,0.015,Retired
Subvert Trust Controls,2022,2022,0,1,1,0.015,Retired
Systemctl,2022,2022,0,1,1,0.015,Retired
Transmitted Data Manipulation,2019,2019,0,1,1,0.015,Retired
